id,exp_name,nr_of_series,nr_of_interactions,population_size,dataset_loader,dataset_view,min_context_size,max_context_size,dataset,dataset_split,feature_set,disable_channels,amount_disabled_channels,sensor_noise,sensor_std,observation_noise,observation_std,scene_sampling,topic_sampling,similarity_threshold,align,entrenchment_incf,entrenchment_decf,entrenchment_li,trash_concepts,weight_update_strategy,initial_weight,weight_incf,weight_decf,prototype_distance,switch_condition,switch_conditions_after_n_interactions,stage_parameters,n_clusters,cluster_update_entrenchment,cluster_update_distribution,cluster_update_weights,cluster_new_cxns,cluster_discriminate
1,clusters-10-nil,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,10,nil,nil,nil,nil,nil
2,clusters-30-nil,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,30,nil,nil,nil,nil,nil
3,clusters-100-nil,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,100,nil,nil,nil,nil,nil
4,clusters-1000-nil,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,1000,nil,nil,nil,nil,nil
5,clusters-10-t,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,10,t,t,t,t,t
6,clusters-30-t,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,30,t,t,t,t,t
7,clusters-100-t,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,100,t,t,t,t,t
8,clusters-1000-t,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,1000,t,t,t,t,t
9,clusters-10-nt,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,10,t,t,t,nil,t
10,clusters-30-nt,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,30,t,t,t,nil,t
11,clusters-100-nt,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,100,t,t,t,nil,t
12,clusters-1000-nt,1,1000000,10,:precompute,:shared-views,nil,nil,clevr,train,clevr,:none,0,:none,0.0,:none,0.0,:random,:random,0.0,t,0.1,-0.1,-0.02,t,:j-interpolation,0,1,-5,:paper,:none,0,nil,1000,t,t,t,nil,t
